City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
651,Bowen,AU,83.95,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
652,Richards Bay,ZA,70.88,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
653,Aquin,HT,77.67,scattered clouds,18.2833,-73.4,Asheev Beach
654,Anloga,GH,79.59,light rain,5.7947,0.8973,Pin Drop Hotel
656,Kavieng,PG,83.97,light rain,-2.5744,150.7967,Nusa Island Retreat
658,Garachine,PA,77.72,light rain,8.0647,-78.3628, 
659,Pemangkat,ID,82.83,broken clouds,1.1667,108.9667,Hotel Duyung Permai 2
662,Tabuk,PH,77.41,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
663,Artesia,US,71.08,clear sky,33.8658,-118.0831,Sheraton Cerritos Hotel
665,Johi,PK,81.05,clear sky,26.6921,67.6133,Haji Fareed/ Abdul Qyoum Rodnani OTAQUE
667,Pandan,PH,81.32,overcast clouds,14.0453,124.1694,Bonifacio Lodge
671,Devonport,AU,68.02,overcast clouds,-41.1667,146.35,Gateway Hotel by Nightcap Plus
672,Noumea,NC,85.98,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
674,Misratah,LY,74.53,clear sky,32.3754,15.0925,Almasa Hotel
676,Dourbali,TD,78.19,few clouds,11.8091,15.8632, 
677,Belmonte,BR,73.94,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
682,Wawa,NG,76.48,overcast clouds,9.9022,4.4192, 
684,Guantanamo,CU,74.77,scattered clouds,20.1444,-75.2092,Hotel Guantánamo
686,Sevilla,ES,68.0,overcast clouds,37.3824,-5.9761,Hotel Sevilla Center
689,Innisfail,AU,87.17,clear sky,-17.5333,146.0333,Moondarra Motel
691,Clarence Town,AU,82.62,overcast clouds,-32.5833,151.7833,River Downs Cottage
692,Dakar,SN,79.68,broken clouds,14.6937,-17.4441,Novotel Dakar
698,Kedougou,SN,75.22,few clouds,12.5579,-12.1743,Relais de Kédougou
699,Odienne,CI,72.64,clear sky,9.51,-7.5692,Oustaz Vame DIAKITE
700,Cilegon,ID,77.22,moderate rain,-6.0174,106.0538,Forbis Hotel
701,Ipixuna,BR,73.89,overcast clouds,-1.7625,-48.8043,Chalé do Mato
703,Kloulklubed,PW,84.0,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
706,Bitung,ID,90.45,broken clouds,1.4451,125.1824,K2 Lembeh
709,Ormara,PK,79.48,clear sky,25.2088,64.6357,Kenara Colony House for Rent
712,Ramhormoz,IR,79.81,scattered clouds,31.28,49.6035,کافی نت کاریزما
